root/Sub-SaharanAfrica,root,58.0,291.0,347.0,416.0,558.0,758.0,1197.0,1382.0,1693.0,2020.0,2263.0,2410.0,2432.0,2535.0,2622.0,2717.0,2706.0,2838.0,2829.0,2920.0,2986.0,3039.0,3211.0,3307.0,3411.0,3457.0,3671.0,3776.0,3877.0,3989.0,3944.0,3928.0,3904.0,3912.0,3965.0,3994.0,4057.0
root/Sub-SaharanAfrica/Angola,root/Sub-SaharanAfrica,0,0,0,0,0,19.0,25.0,27.0,31.0,32.0,34.0,37.0,41.0,44.0,46.0,48.0,49.0,51.0,52.0,56.0,60.0,64.0,68.0,71.0,73.0,75.0,77.0,78.0,79.0,88.0,75.0,70.0,72.0,75.0,78.0,78.0,78.0
root/Sub-SaharanAfrica/Benin,root/Sub-SaharanAfrica,0,29.0,27.0,36.0,41.0,0,4.0,9.0,13.0,23.0,48.0,71.0,55.0,58.0,61.0,82.0,81.0,82.0,79.0,89.0,87.0,81.0,85.0,84.0,93.0,95.0,95.0,93.0,92.0,92.0,92.0,92.0,93.0,93.0,93.0,85.0,85.0
root/Sub-SaharanAfrica/Botswana,root/Sub-SaharanAfrica,0,10.0,11.0,12.0,10.0,39.0,43.0,50.0,54.0,58.0,59.0,59.0,62.0,63.0,91.0,72.0,75.0,69.0,72.0,80.0,80.0,81.0,82.0,82.0,83.0,83.0,84.0,84.0,85.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
root/Sub-SaharanAfrica/BurkinaFaso,root/Sub-SaharanAfrica,0,0,0,11.0,16.0,8.0,13.0,18.0,22.0,55.0,55.0,55.0,52.0,54.0,58.0,64.0,52.0,63.0,49.0,55.0,57.0,60.0,63.0,67.0,69.0,72.0,76.0,80.0,79.0,85.0,85.0,88.0,88.0,88.0,89.0,92.0,92.0
root/Sub-SaharanAfrica/Burundi,root/Sub-SaharanAfrica,0,0,0,0,0,21.0,35.0,53.0,59.0,65.0,67.0,69.0,70.0,67.0,71.0,61.0,61.0,60.0,44.0,35.0,51.0,55.0,63.0,65.0,66.0,65.0,66.0,76.0,78.0,94.0,94.0,80.0,85.0,85.0,85.0,85.0,85.0
root/Sub-SaharanAfrica/CaboVerde,root/Sub-SaharanAfrica,0,0,0,0,6.0,0,0,0,77.0,82.0,75.0,91.0,92.0,91.0,65.0,30.0,24.0,63.0,62.0,64.0,60.0,46.0,62.0,76.0,78.0,70.0,74.0,77.0,78.0,78.0,92.0,92.0,92.0,92.0,92.0,92.0,92.0
root/Sub-SaharanAfrica/Cameroon,root/Sub-SaharanAfrica,8.0,13.0,18.0,19.0,24.0,10.0,13.0,17.0,20.0,20.0,19.0,19.0,26.0,18.0,18.0,20.0,21.0,40.0,47.0,55.0,54.0,52.0,65.0,71.0,73.0,76.0,81.0,83.0,86.0,91.0,91.0,75.0,85.0,85.0,85.0,85.0,85.0
root/Sub-SaharanAfrica/CentralAfricanRepublic,root/Sub-SaharanAfrica,0,0,0,0,0,24.0,25.0,25.0,34.0,49.0,69.0,77.0,45.0,39.0,31.0,34.0,33.0,29.0,24.0,38.0,36.0,34.0,31.0,32.0,35.0,48.0,52.0,54.0,86.0,86.0,86.0,80.0,66.0,66.0,60.0,60.0,60.0
root/Sub-SaharanAfrica/Chad,root/Sub-SaharanAfrica,0,0,0,0,14.0,0,0,8.0,10.0,19.0,14.0,13.0,11.0,56.0,60.0,65.0,43.0,49.0,47.0,43.0,39.0,37.0,48.0,60.0,61.0,61.0,60.0,60.0,58.0,60.0,60.0,60.0,43.0,50.0,60.0,75.0,80.0
root/Sub-SaharanAfrica/Comoros,root/Sub-SaharanAfrica,0,0,0,0,0,13.0,24.0,31.0,33.0,64.0,78.0,44.0,37.0,48.0,58.0,67.0,50.0,41.0,44.0,50.0,57.0,70.0,84.0,93.0,92.0,91.0,88.0,89.0,83.0,83.0,85.0,85.0,85.0,85.0,85.0,85.0,85.0
root/Sub-SaharanAfrica/CongoDemRep,root/Sub-SaharanAfrica,0,0,0,0,0,37.0,37.0,36.0,51.0,52.0,53.0,35.0,38.0,43.0,52.0,42.0,43.0,33.0,50.0,33.0,45.0,43.0,61.0,66.0,67.0,67.0,66.0,70.0,75.0,85.0,77.0,70.0,70.0,75.0,82.0,82.0,85.0
