root/Europe&CentralAsiaGeorgia,root,1200.0,1400.0,1600.0,1800.0,1500.0,1500.0,1500.0,1500.0,1600.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1700.0,1600.0,1500.0,1500.0,1400.0,1400.0,1400.0,1400.0,1400.0,1400.0,1500.0
root/Europe&CentralAsiaGermany,root,6100.0,6400.0,6800.0,7100.0,7600.0,7800.0,7900.0,8300.0,8700.0,9000.0,9300.0,9800.0,10100.0,10500.0,11100.0,11300.0,11600.0,11800.0,11600.0,11400.0,11400.0,11500.0,11700.0,11700.0,11700.0,11700.0
root/Europe&CentralAsiaGreece,root,13100.0,14800.0,14500.0,16500.0,17200.0,17400.0,17700.0,19100.0,18700.0,19700.0,21400.0,22700.0,22100.0,22800.0,21200.0,20900.0,23200.0,20300.0,21900.0,21000.0,21500.0,21500.0,21500.0,23100.0,23400.0,23700.0
root/Europe&CentralAsiaHungary,root,2400.0,2600.0,2600.0,2700.0,3100.0,3400.0,4000.0,4300.0,4600.0,4800.0,5300.0,5600.0,5500.0,5600.0,5600.0,5200.0,5100.0,4600.0,4700.0,4600.0,4800.0,4600.0,4600.0,4500.0,4400.0,4400.0
root/Europe&CentralAsiaIceland,root,6400.0,6700.0,7100.0,7200.0,7000.0,7800.0,8200.0,9600.0,9600.0,10100.0,10700.0,10200.0,10400.0,10500.0,11800.0,11800.0,12500.0,12700.0,12800.0,12400.0,12900.0,14400.0,16900.0,14000.0,14300.0,14600.0
root/Europe&CentralAsiaIreland,root,4400.0,4900.0,5200.0,5700.0,5800.0,5500.0,6100.0,5600.0,6000.0,6000.0,5400.0,5700.0,6200.0,6800.0,6700.0,6300.0,6400.0,6300.0,5900.0,5500.0,6500.0,5800.0,6100.0,6100.0,6000.0,6100.0
root/Europe&CentralAsiaItaly,root,9400.0,9500.0,10100.0,10700.0,11300.0,11500.0,12100.0,13600.0,13900.0,15000.0,15000.0,15300.0,15500.0,16000.0,16900.0,16400.0,17000.0,16900.0,18100.0,17200.0,18200.0,18500.0,19000.0,19400.0,19600.0,19700.0
root/Europe&CentralAsiaKazakhstan,root,410.0,430.0,440.0,430.0,470.0,470.0,500.0,550.0,610.0,700.0,780.0,840.0,920.0,960.0,990.0,1000.0,1000.0,1100.0,1300.0,1500.0,1800.0,2100.0,2400.0,2600.0,2800.0,3000.0
root/Europe&CentralAsiaKyrgyzRepublic,root,280.0,280.0,300.0,300.0,290.0,290.0,330.0,380.0,410.0,470.0,480.0,500.0,460.0,460.0,460.0,430.0,400.0,390.0,380.0,360.0,370.0,350.0,370.0,370.0,380.0,390.0
root/Europe&CentralAsiaLatvia,root,1100.0,1200.0,1200.0,1100.0,1100.0,1400.0,1900.0,2200.0,2400.0,2600.0,3000.0,3100.0,3300.0,3200.0,3400.0,3500.0,3200.0,3100.0,3400.0,3400.0,3600.0,3300.0,3800.0,3700.0,3600.0,3500.0
root/Europe&CentralAsiaLithuania,root,1700.0,1800.0,1900.0,1900.0,1900.0,2100.0,2500.0,3200.0,3600.0,4100.0,4700.0,4900.0,5800.0,5900.0,6800.0,6600.0,6200.0,6300.0,6700.0,7600.0,7800.0,6600.0,6600.0,6900.0,6600.0,6300.0
root/Europe&CentralAsiaLuxembourg,root,5000.0,4600.0,4200.0,4200.0,4300.0,4300.0,4200.0,4300.0,4600.0,4600.0,4500.0,4600.0,5000.0,5000.0,5300.0,4800.0,5000.0,5300.0,6200.0,5800.0,5600.0,5700.0,6000.0,6100.0,6300.0,6500.0
root/Europe&CentralAsiaMacedoniaFYR,root,3000.0,3000.0,3200.0,3400.0,3700.0,3800.0,3700.0,4000.0,4000.0,4600.0,4900.0,5700.0,5300.0,6300.0,6000.0,6700.0,6900.0,7100.0,8400.0,8200.0,8400.0,8900.0,8400.0,8400.0,8500.0,8500.0
root/Europe&CentralAsiaMoldova,root,780.0,700.0,820.0,870.0,810.0,820.0,930.0,1000.0,1200.0,1300.0,1400.0,1700.0,1800.0,1900.0,2200.0,2000.0,2200.0,2100.0,2100.0,2200.0,2200.0,2800.0,2800.0,3000.0,3100.0,3200.0
root/Europe&CentralAsiaMontenegro,root,4400.0,4200.0,4300.0,3900.0,4100.0,4200.0,4300.0,4200.0,4200.0,4500.0,4800.0,5100.0,5000.0,5100.0,5300.0,5700.0,6400.0,6900.0,6800.0,7000.0,7000.0,7900.0,7600.0,7900.0,8100.0,8300.0
root/Europe&CentralAsiaNetherlands,root,5200.0,5000.0,4900.0,4800.0,4700.0,4600.0,4500.0,4400.0,4400.0,4100.0,4100.0,4300.0,4300.0,4500.0,4900.0,5300.0,6000.0,6500.0,6900.0,7300.0,8100.0,7800.0,8200.0,8600.0,8600.0,8700.0
root/Europe&CentralAsiaNorway,root,7300.0,7300.0,7600.0,7700.0,7600.0,7700.0,7700.0,7900.0,7600.0,7700.0,7700.0,7800.0,8400.0,8100.0,7600.0,8100.0,8400.0,8700.0,9100.0,9300.0,9600.0,10000.0,11500.0,11000.0,11300.0,11500.0
root/Europe&CentralAsiaPoland,root,2800.0,2900.0,3200.0,3800.0,4200.0,4800.0,5700.0,6500.0,7500.0,8300.0,9500.0,10800.0,11900.0,12900.0,13300.0,13800.0,14200.0,14700.0,15500.0,16400.0,18700.0,19600.0,20900.0,20900.0,21500.0,22100.0
root/Europe&CentralAsiaPortugal,root,3600.0,3800.0,4000.0,4000.0,4400.0,4500.0,4500.0,4400.0,4700.0,4900.0,5000.0,5000.0,5200.0,5400.0,5800.0,5800.0,6400.0,6400.0,6600.0,6700.0,6800.0,7700.0,7500.0,7700.0,7900.0,8200.0
root/Europe&CentralAsiaRomania,root,420.0,520.0,610.0,720.0,830.0,910.0,980.0,1100.0,1200.0,1300.0,1400.0,1600.0,1700.0,1800.0,2100.0,2200.0,2400.0,2400.0,2400.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0,2300.0
root/Europe&CentralAsiaRussianFederation,root,820.0,900.0,920.0,840.0,850.0,980.0,1200.0,1400.0,1500.0,1500.0,1500.0,1600.0,1600.0,1700.0,1800.0,1800.0,2000.0,2100.0,2100.0,2200.0,2200.0,2200.0,2300.0,2300.0,2200.0,2300.0
root/Europe&CentralAsiaSerbia,root,3400.0,3300.0,3400.0,3200.0,3300.0,3500.0,3400.0,3300.0,3200.0,3100.0,3300.0,3400.0,3600.0,3700.0,3900.0,4100.0,4200.0,4500.0,4300.0,4200.0,4200.0,4100.0,4000.0,3900.0,3900.0,3900.0
root/Europe&CentralAsiaSlovakRepublic,root,4200.0,4400.0,5000.0,5500.0,6000.0,6800.0,7400.0,7600.0,8200.0,8800.0,9800.0,9700.0,10500.0,10600.0,10900.0,10600.0,11800.0,10300.0,11900.0,11800.0,12500.0,12200.0,12300.0,12300.0,12200.0,12100.0
root/Europe&CentralAsiaSlovenia,root,5700.0,5800.0,5700.0,6000.0,6100.0,6500.0,6600.0,7200.0,6900.0,6900.0,6900.0,7700.0,7200.0,7300.0,6800.0,7300.0,8800.0,7500.0,7900.0,7500.0,7200.0,6800.0,7400.0,7200.0,7100.0,7000.0
root/Europe&CentralAsiaSpain,root,10900.0,11100.0,12100.0,12500.0,12800.0,12900.0,13200.0,14600.0,14900.0,14600.0,14300.0,13900.0,13700.0,12800.0,13200.0,13100.0,13100.0,13300.0,13300.0,13600.0,14800.0,14300.0,14900.0,14600.0,14600.0,14700.0
root/Europe&CentralAsiaSweden,root,6700.0,6800.0,7200.0,7400.0,7800.0,8700.0,9600.0,10500.0,10800.0,10800.0,11600.0,12100.0,11600.0,11100.0,10300.0,11700.0,11100.0,11300.0,11300.0,11600.0,12500.0,12100.0,12000.0,12700.0,12800.0,12900.0
root/Europe&CentralAsiaSwitzerland,root,7600.0,7700.0,7800.0,7700.0,7700.0,7500.0,8400.0,8700.0,9300.0,9400.0,10000.0,10200.0,10100.0,10800.0,11100.0,10600.0,11100.0,11800.0,11900.0,12400.0,11700.0,11700.0,12200.0,12300.0,12400.0,12400.0
root/Europe&CentralAsiaTajikistan,root,150.0,150.0,150.0,120.0,130.0,150.0,170.0,200.0,240.0,300.0,340.0,350.0,430.0,530.0,570.0,570.0,670.0,690.0,700.0,700.0,720.0,730.0,740.0,740.0,760.0,790.0
root/Europe&CentralAsiaTurkey,root,290.0,320.0,340.0,350.0,370.0,380.0,400.0,410.0,430.0,450.0,470.0,490.0,520.0,560.0,620.0,710.0,860.0,1100.0,1300.0,1600.0,1900.0,2200.0,2400.0,2600.0,2800.0,3000.0
root/Europe&CentralAsiaTurkmenistan,root,240.0,230.0,240.0,250.0,270.0,350.0,370.0,440.0,500.0,530.0,560.0,590.0,620.0,630.0,650.0,680.0,700.0,740.0,780.0,810.0,840.0,850.0,870.0,900.0,920.0,940.0
root/Europe&CentralAsiaUkraine,root,1200.0,1300.0,1300.0,1400.0,1400.0,1400.0,1600.0,2000.0,2400.0,2500.0,2700.0,2900.0,3000.0,3100.0,2900.0,2700.0,2800.0,2400.0,2300.0,2500.0,2700.0,2800.0,2600.0,2700.0,2700.0,2600.0
root/Europe&CentralAsiaUnitedKingdom,root,5200.0,5200.0,5200.0,5100.0,5000.0,4900.0,5000.0,5000.0,5100.0,5100.0,5100.0,5100.0,5000.0,4800.0,4800.0,4900.0,5000.0,5100.0,5100.0,5300.0,5400.0,5600.0,5600.0,5700.0,5700.0,5800.0
root/Europe&CentralAsiaUzbekistan,root,370.0,410.0,490.0,540.0,650.0,790.0,890.0,1000.0,1000.0,1100.0,980.0,920.0,870.0,890.0,940.0,890.0,910.0,910.0,900.0,910.0,910.0,930.0,930.0,950.0,970.0,1000.0
root/LatinAmerica&CaribbeanArgentina,root,440.0,450.0,470.0,510.0,530.0,560.0,570.0,560.0,600.0,590.0,620.0,610.0,630.0,620.0,650.0,650.0,680.0,670.0,690.0,640.0,690.0,710.0,730.0,750.0,770.0,790.0
root/LatinAmerica&CaribbeanBahamasThe,root,730.0,740.0,760.0,770.0,760.0,750.0,730.0,740.0,760.0,770.0,770.0,770.0,770.0,740.0,750.0,720.0,690.0,680.0,640.0,660.0,620.0,620.0,640.0,650.0,640.0,660.0
root/LatinAmerica&CaribbeanBarbados,root,880.0,1000.0,1000.0,1000.0,970.0,1100.0,1300.0,1300.0,1200.0,1200.0,1200.0,1300.0,1300.0,1300.0,1300.0,1500.0,1700.0,1600.0,1600.0,1700.0,1800.0,1900.0,2000.0,2100.0,2100.0,2100.0
root/LatinAmerica&CaribbeanBelize,root,340.0,350.0,350.0,360.0,360.0,370.0,390.0,410.0,440.0,450.0,460.0,470.0,480.0,530.0,550.0,550.0,590.0,670.0,870.0,830.0,870.0,1000.0,1100.0,1200.0,1200.0,1300.0
root/LatinAmerica&CaribbeanBolivia,root,47.0,48.0,49.0,51.0,53.0,55.0,58.0,61.0,64.0,67.0,70.0,73.0,76.0,79.0,82.0,85.0,90.0,95.0,100.0,110.0,120.0,120.0,130.0,140.0,150.0,160.0
root/LatinAmerica&CaribbeanBrazil,root,300.0,330.0,350.0,370.0,400.0,430.0,430.0,410.0,400.0,470.0,590.0,650.0,650.0,660.0,660.0,670.0,680.0,710.0,760.0,780.0,800.0,880.0,890.0,1100.0,1200.0,1200.0
root/LatinAmerica&CaribbeanChile,root,630.0,710.0,790.0,850.0,910.0,980.0,1100.0,1200.0,1300.0,1300.0,1500.0,1500.0,1700.0,1700.0,1700.0,1900.0,1900.0,1800.0,1900.0,2000.0,2100.0,2200.0,2300.0,2400.0,2500.0,2600.0
root/LatinAmerica&CaribbeanColombia,root,250.0,250.0,260.0,280.0,300.0,320.0,340.0,360.0,370.0,380.0,400.0,410.0,430.0,460.0,500.0,530.0,560.0,590.0,620.0,630.0,660.0,700.0,740.0,740.0,770.0,800.0
root/LatinAmerica&CaribbeanCostaRica,root,640.0,620.0,680.0,730.0,720.0,740.0,750.0,830.0,940.0,950.0,1000.0,1100.0,1100.0,1200.0,1400.0,1500.0,1400.0,1600.0,1600.0,1500.0,1700.0,1800.0,1900.0,2000.0,2000.0,2100.0
root/LatinAmerica&CaribbeanCuba,root,830.0,850.0,850.0,910.0,940.0,990.0,1100.0,1200.0,1200.0,1300.0,1400.0,1500.0,1600.0,1600.0,1600.0,1600.0,1800.0,1700.0,1600.0,1600.0,1600.0,1600.0,1700.0,1700.0,1700.0,1800.0
root/LatinAmerica&CaribbeanDominicanRepublic,root,120.0,120.0,130.0,130.0,150.0,140.0,150.0,150.0,170.0,310.0,380.0,410.0,470.0,460.0,420.0,500.0,300.0,410.0,390.0,320.0,460.0,310.0,570.0,340.0,370.0,400.0
root/LatinAmerica&CaribbeanEcuador,root,130.0,140.0,150.0,160.0,180.0,210.0,220.0,260.0,250.0,270.0,300.0,320.0,350.0,390.0,430.0,440.0,470.0,490.0,500.0,480.0,460.0,450.0,480.0,520.0,550.0,580.0
root/LatinAmerica&CaribbeanElSalvador,root,150.0,170.0,180.0,180.0,190.0,230.0,250.0,260.0,290.0,350.0,380.0,390.0,470.0,510.0,530.0,560.0,590.0,660.0,720.0,690.0,750.0,750.0,820.0,860.0,880.0,890.0
root/LatinAmerica&CaribbeanGrenada,root,540.0,610.0,640.0,670.0,740.0,820.0,940.0,1100.0,1200.0,1200.0,1300.0,1300.0,1400.0,1500.0,1600.0,1700.0,1700.0,1600.0,1600.0,1600.0,1500.0,1500.0,1500.0,1500.0,1500.0,1500.0
